Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description,Latitude,Longitude
Somerset Place Apartments - 2 Bdrm available at 1030 South Park ,2735,"1030 South Park Street, Halifax, NS, B3J 2K9",2024-02-24T00:51:03.000Z,18 days ago,Apartment,2,1,Water,Not Included,0,1 Year,Yes,950,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/somerset-place-apartments/,Somerset Place Apartments, featuring Bachelor, Junior 1, 1, and 2 bedroom apartments for rent in Halifax, is a perfect location in the South end of Halifax that is only steps away from St. Mary’s University, Dalhousie University, the Victoria General (VG) Hospital, grocery shopping, fine dining and the downtown business district., ,Residents can entertain in our social room that features a kitchenette and washroom, or spend some time exercising in the building’s fitness centre., ,These quiet Halifax apartments offers its tenants the pleasure of pizza, receiving a hair-cut, or enjoying a cup of Coffee at Uncommon Grounds all without having to leave the property. With amenities like this combined with our close proximity to schools, shopping, and downtown Halifax visit Somerset Place today to find your next Halifax apartment rental., , , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-7575",44.63511,-63.57645
The Welsford Apartments - Bachelor available at 2074 Robie Stree,1750,"2074 Robie Street, Halifax, NS, B3K 5L3",2024-02-24T00:51:03.000Z,18 days ago,Apartment,Bachelor/Studio,1,Water,Not Included,0,1 Year,Yes,507,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/the-welsford-apartments/,Situated in a quiet high-rise building with just six apartments per floor and stunning views of the city.,Some of our building amenities include laundry rooms on every 2nd floor, an 8th floor patio (open during the summer), intercom security, and ample parking.,You will have the option to walk, bike or take a short bus ride, with transit right in front of the building, to both Dalhousie University and Saint Mary’s University, the Halifax Infirmary and Victoria General Hospital. In the summer take a stroll on the Halifax Commons, or a dip in the wading pool, enjoy Canada Day festivities from your own balcony and during the winter months enjoy skating on the famous Halifax Oval skating rink. With so much to do right at your door step don’t miss out on these prime Halifax apartment rentals and make The Welsford your next apartment home., , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-3838",44.64878,-63.59128
Somerset Place Apartments - 1 Bdrm available at 1030 South Park ,1970,"1030 South Park Street, Halifax, NS, B3J 2K9",2024-02-24T00:51:04.000Z,18 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Yes,660,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/somerset-place-apartments/,Somerset Place Apartments, featuring Bachelor, Junior 1, 1, and 2 bedroom apartments for rent in Halifax, is a perfect location in the South end of Halifax that is only steps away from St. Mary’s University, Dalhousie University, the Victoria General (VG) Hospital, grocery shopping, fine dining and the downtown business district., ,Residents can entertain in our social room that features a kitchenette and washroom, or spend some time exercising in the building’s fitness centre., ,These quiet Halifax apartments offers its tenants the pleasure of pizza, receiving a hair-cut, or enjoying a cup of Coffee at Uncommon Grounds all without having to leave the property. With amenities like this combined with our close proximity to schools, shopping, and downtown Halifax visit Somerset Place today to find your next Halifax apartment rental., , , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-7575",44.63511,-63.57645
Downtown Dartmouth 1 Bedroom Flat,1495,"Dartmouth, NS B3A 1L1",2024-02-24T13:29:08.000Z,18 days ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,No,800,No,"Laundry (In Building),Fridge / Freezer",No,,No,,Owner,,"Large one bedroom unit located in Downtown Dartmouth, close to grocery stores, transit routes, Sportsplex and many amenities.,Features:
- Hardwood throughout
- Heat/water/hot water included
- Private Entrance
- Bright unit
- Small quiet building
- Main floor unit
- Ample storage
- includes one parking spot,This newly updated unit is centrally located on a quiet cul-de-sac. Unit has been newly painted and floors have been refinished.,Rent: $1,495
Available: March 1, 2024 (or sooner),Please email ad to set up a viewing.",44.67319,-63.58547
2 Beds 2 Baths - Apartment in Queen's Marque,3660,"1715 Lower Water Street, Halifax, NS",2024-02-25T19:18:58.000Z,16 days ago,Condo,2,2,"Hydro,Water",,0,1 Year,Yes,989,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Pool,Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,,"Take in views of the Halifax Harbour and Atlantic Ocean through floor-to-ceiling windows in the most luxurious and exclusive suites at The Residences at Queen’s Marque.,Rent is $3,660/month ($3,285/month base rent and $375/month mandatory building amenity fee for the extras listed below).,Enjoy a spacious 2 bedroom suite with ocean views. Heat, water, internet, cable and telephone included. Concierge and private driver service included. Beautiful shared rooftop terrace with fire tables, lounging area, barbecues, and work space. Your wellbeing is front and center at Queens Marque Residences with a top of the line fitness center, heated indoor pool, IR sauna, steam room, salt room, and cold plunge.,Media room, resident lounge area, with full dining room and kitchen. The building is also pet friendly and hosts a dog playroom.,https://residences.queensmarque.com/suites/skye/,Sublet immediately for remainder of lease (to September 30, 2024) with option to continue direct with the building thereafter.
Unfurnished.",44.64814,-63.57146
"Renovated 1 bedroom on the Dartmouth waterfront, Available NOW!",1695,"223 Windmill Rd., Dartmouth, NS, B3A 4M6",2024-02-26T00:32:22.000Z,16 days ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"24 Hour Security,Bicycle Parking",Professional,,"Available NOW!,To fill out the online application please visit our site's homepage, WWW.OLYMPUSPROPERTIES.CA,To view contact Barb at 902-830-1835.,This beautifully renovated apartment is located in a clean, quiet, and secure 132-unit building at 223 Windmill Rd on the Dartmouth waterfront. The rent for this beautiful apartment includes the heat, hot and cold water, fridge, stove, dishwasher, parking for one, and on-site coin laundry. This location also offers you close proximity to Burnside Industrial Park, good access to the ferry, bus routes, NSCC Akerley Campus, MacDonald Bridge, and downtown Dartmouth and Halifax.,THIS PROPERTY IS SMOKE-FREE/PET-FREE.,pictures are of a similar unit.",44.67147,-63.588
Ready Jan 1st One Bedroom + Den Apartment in Clayton Park,2095,"333 Main Avenue, Halifax, NS, B3S 0B6",2024-02-26T00:32:30.000Z,16 days ago,Apartment,1 + Den,1,"Heat,Water",Not Included,0,1 Year,Limited,"1,250",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Storage Space,Elevator in Building",Professional,www.templetonproperties.ca,,44.65147,-63.65379
FULLY RENOVATED UNIT DARTMOUTH WATERFRONT  Available now!,1695,"249 Windmill Road, Dartmouth, NS, B3A 4M6",2024-02-26T00:32:30.000Z,16 days ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"24 Hour Security,Bicycle Parking",Professional,www.olympusproperties.ca,"Spacious one bdrm unit with a balcony on Dartmouth waterfront. The rent includes a new fridge, stove, dishwasher, and over-the-range microwave. There is outside parking for 1 or the option for underground for a fee. Heat, hot water, onsite coin-operated laundry, and onsite super. This building is clean, safe, and secure being monitored inside and out. Close proximity to Sobeys, No Frills, Dartmouth Shopping Plaza, the Dartmouth Bus Terminal, and Burnside Industrial Park. It is approximately halfway between the McKay and the MacDonald Bridges. Pictures are of a similar unit.,The building is pet-free and smoke-free; there is a designated smoking area outside.",44.67307,-63.5909
"Fully-Furnished, Self-Contained, 1-Bedroom Unit",1900,"Brook Street, Halifax, NS",2024-02-26T02:43:31.000Z,16 days ago,Apartment,1 + Den,1,"Hydro,Heat",,1,Month-to-month,Limited,950,Yes,Laundry (In Unit),Yes,Yard,No,,Owner,,"-, 1-bedroom short-term rental, self-contained suite with separate entrance - Apr. or May 1.,Modern, convenient, open-concept suite for long or short-term stays. Everything you need for a comfortable and enjoyable stay is included in the price.,You will have a spacious bedroom, private entrance, kitchen (fridge-freezer, hot plate, microwave, mini-oven), bathroom, living room, office, and reading nook. Ideal for homestay, school or work placement, or similar.,Parking, heat, hot water, Internet, cable, electricity are all included.,→ Centrally located
→ Thoughtfully designed
→ Quiet neighborhood
→ Quick access to bike trail,* & .",44.64255,-63.63036
"Senior’s (55+) 1 Bed, 1 Bath Under Reno: Book your viewing! ✅",1650,"Enfield, NS B2T",2024-02-26T12:47:08.000Z,16 days ago,Apartment,1,1,,Not Included,1,Month-to-month,Limited,"1,100",No,,Yes,,Outdoors only,,Owner,,"Townhouses of Convent Lane, Enfield
Quiet SENIORS’ Community
✅Viewings are taking place on Friday, March 15 at 10:00 and 4:30, send a message to get on the list!
One bed, one bath, lower level, hardwood floors, laundry room with washer and dryer.
Renos will include new kitchen, with fridge, stove, and microwave.
Heat and lights not included.
Parking, green space, small pet friendly (under 30 pounds)
",44.92464,-63.53804
1 Bed + Den Modern New Seniors/Adults Only Complex $1995 Sept,1995,"Appaloosa Run, Hammonds Plains, NS",2024-02-26T14:12:08.000Z,16 days ago,Apartment,1 + Den,1,"Heat,Water",Not Included,0,1 Year,Limited,"1,000",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Storage Space,Elevator in Building",Owner,,"Hello and Welcome to our highly sought after Adults/Seniors only community!,Please call Luke/reach out for more information.
EMAIL: luke@unitedgulf.ca
PHONE: luke 902-440-0000,60-65% LEASED CURRENTLY AND RENTING FAST,NOW LEASING FOR EARLY FALL 2024: BRAND NEW OPENING, in our Adults only Senior Apartments. Welcoming adults 50+, seniors, retirees, down-sizers, and empty nesters.,Our community is a premier community designed for 50+ adult professionals and seniors seeking a quiet and luxurious living experience.,Our building is a stunning building boasting state-of-the-art features that cater to the needs and preferences of tenants. The building is designed with comfort and convenience in mind, providing amenities that make daily living a breeze. The 8 ft deep balconies offer a serene outdoor space for residents to relax and enjoy the views, while the concrete slab structure ensures durability and stability.,The building is equipped with split heat pumps and in-floor heating, providing energy-efficient and customizable climate control options for each unit, ensuring residents are comfortable year-round. Additionally, the presence of 2 elevators powered by a generator ensures uninterrupted access to all floors, regardless of power outages, providing convenience and peace of mind.,One of the highlights of our community is its modern and fully decked common area, which serves as a hub for socializing and community events. Tenants can gather and host events, get-togethers, and activities, fostering a sense of community and camaraderie among the residents. The common area is thoughtfully designed with luxurious amenities, providing a space for relaxation and leisure.,Our community is an ideal choice for those looking to downsize from home ownership or seeking a comfortable and luxurious lifestyle in a community that caters to their needs. With its state-of-the-art features, modern common area, and welcoming atmosphere, the new building is set to be a sought-after addition to this thriving community.,Whether downsizing or in need of a quiet, respectful, and beautiful community - we will help you out.,We also have a 2 Bed Corner unit for $2295.available
April/May in a current building.,LOCATION: Hammonds Plains,SUITE TYPES AVAILABLE IN FUTURE NEW BUILD:
1 Bed
1 Bed + Den
2 Bed
2 Bed + Den,PRICE:
$1995.00 1 Bed + Dens
$2445.00 2 Bed; 2 Bed + Dens,PET POLICY: CATS ONLY (NO DOGS),SMOKE POLICY: STRICTLY NON-SMOKING,We take pride in being a building/community in which we do not have smoke blowing into our tenants units as we strictly enforce our smoking policy - keeping our buildings clean and respectable.,BUILDING FEATURES:
• Luxury Apartment
• 6 brand-new stainless-steel appliances
• Split Heat Pump
• Large 8 ft Deep Balconies
• Concrete Slabs between floors (quiet building)
• 2 State of the Art Elevators
• Underground Parking with Storage Lockers
• Quartz Counters
• In-floor Premium Heating
• On-site Building Supervisor
• Common area/Amenity Room
• 2 New Fully Functional Electric Car Charging
Stations
• Plenty of Visitor Parking,What is Included:
• 6 Brand New Appliances
• Split Heat Pump
• Premium Roller Blinds
• Heating
• Water / Hot water,TENANT COVERS:
• Power
• Wi-Fi/Cable
• Tenant Insurance
• Ground Level Indoor Parking with storage,Please call Luke 902.440.0000 and or send an email to luke@unitedgulf.ca answering the following questions:
1) How many occupants?
2) Ages (all over 50 for community requirements)?
3) Any pets?
4) How many vehicles?",44.72522,-63.74884
2 Bed + Den $2295 Hammonds Plains 50+ Adults/Seniors Only,2295,"Appaloosa Run, Hammonds Plains, NS",2024-02-26T14:44:29.000Z,15 days ago,Apartment,2 + Den,2,"Heat,Water",Not Included,0,1 Year,Limited,"1,400",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Storage Space,Elevator in Building",Owner,,"Hello all, Welcome to our lovely 50+ Adults/Seniors Only Community.,Please call luke for more information.
EMAIL: luke@unitedgulf.ca
PHONE: luke 902.440.0000,We have a current unit avail for $2295 monthly avail ASAP. Please reach out to Luke@unitedgulf.ca for more info!,Write-up for new building below as well:,NOW LEASING FOR LATE SUMMER EARLY FALL 2024: BRAND NEW Shiraz 6 OPENING, in our Shiraz Gardens 50+ Adults only Senior Apartments. Welcoming adults 50+, seniors, retirees, and empty nesters.,Shiraz Gardens is a premier community designed for 50+ adult professionals and seniors seeking a quiet and luxurious living experience.,Shiraz 6 is a stunning building boasting state-of-the-art features that cater to the needs and preferences of tenants. The building is designed with comfort and convenience in mind, providing amenities that make daily living a breeze. The 8 ft deep balconies offer a serene outdoor space for residents to relax and enjoy the views, while the concrete slab structure ensures durability and stability.,The building is equipped with split heat pumps and in-floor heating, providing energy-efficient and customizable climate control options for each unit, ensuring residents are comfortable year-round. Additionally, the presence of 2 elevators powered by a generator ensures uninterrupted access to all floors, regardless of power outages, providing convenience and peace of mind.,One of the highlights of Shiraz 5 is its modern and fully decked common area, which serves as a hub for socializing and community events. Tenants can gather and host events, get-togethers, and activities, fostering a sense of community and camaraderie among the residents. The common area is thoughtfully designed with luxurious amenities, providing a space for relaxation and leisure.,Shiraz Gardens is an ideal choice for those looking to downsize from home ownership or seeking a comfortable and luxurious lifestyle in a community that caters to their needs. With its state-of-the-art features, modern common area, and welcoming atmosphere, Shiraz 5 is set to be a sought-after addition to this thriving community.,SUITE TYPES AVAILABLE:
1 Bed
1 Bed + Den $1995
2 Bed
2 Bed + Den $2445,PET POLICY: CATS ONLY (NO DOGS)
SMOKE POLICY: STRICTLY NON-SMOKING,BUILDING FEATURES:
•	+50 Adults Only Luxury Apartment
•	6 brand-new stainless-steel appliances
•	Split Heat Pump
•	Large 8 ft Deep Balconies
•	Concrete Slabs between floors (quiet building)
•	2 State of the Art Elevators
•	Underground Parking with Storage Lockers
•	Quartz Counters
•	In-floor Premium Heating
•	On-site Building Supervisor
•	Common area/Amenity Room
•	2 New Fully Functional Electric Car Charging Stations
•	Plenty of Visitor Parking,What is Included:
•	6 Brand New Appliances
•	Split Heat Pump
•	Premium Roller Blinds
•	Heating
•	Water / Hot water,TENANT COVERS:
•	Power
•	Wi-Fi/Cable
•	Tenant Insurance
•	Ground Level Indoor Parking,Please call Luke at 902.440.0000 and or send an email to luke@unitedgulf.ca answering the following questions:
1)	How many occupants?
2)	Ages (all over 50 for community requirements)?
3)	Any pets?
4)	How many vehicles?",44.72362,-63.74914
1 bedroom apartment dog friendly in Clayton park,1850,"179 Lacewood Dr, Halifax, NS B3M 2N9",2024-02-26T18:41:45.000Z,15 days ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,Yes,750,No,Laundry (In Building),No,Yard,Outdoors only,Bicycle Parking,Owner,,"Large 1 bedroom apartment
Dog friendly ( small or medium)
Location: 179 lacewood Drive
Heat, hot water included and one parking
Rent $1850
Deposit : $925
Patio
Call or text Teddy at 902 8307828
To view and get application ",44.66396,-63.64435
Cozy 1 Bedroom 1 Bathroom Unit for Rent (APRIL 1ST MOVE IN),1550,"Waterloo Street, Halifax, NS",2024-02-26T19:02:41.000Z,15 days ago,Apartment,1,1,"Heat,Water",,1,1 Year,Yes,700,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Yard,No,,Owner,,"AVAILABLE FOR APRIL 1ST. LOCATION IS NORTH END DARTMOUTH (ignore the map on kijiji, it wont allow me to change the location on the map),Hello! I am looking to sublet my 1 bedroom 1 bathroom apartment located in the North End of Dartmouth from April 1st to May 31st. However, you WILL have the option to renew your own lease for June 1st 2024.
Please read the description below for more details:
The current rent is $1550 per month (heat, hot water, and parking included). Not included would be your power, wifi, and tenants insurance. For power, I pay around $50-60 bi-monthly. The unit comes with Bell wifi-hookup.
If you do not plan to renew the lease, you will need to move out on May 31st by 12pm. If you would like to renew and start your own lease, the rent will be $1750 per month.
- All stainless steel appliances (Stove, Refrigerator, Dishwasher, Microwave)
- Coin operated laundry on the same floor
- No Smoking Permitted
- Single (Couple Occupancy max)
- Pet friendly
- 1 year lease (if you plan to renew and start your own lease starting June 1st 2024)
If you are interested, before scheduling a viewing, send me a message answering the following questions:
- How many occupants?
- Where do you work & for how long?
- What kind of pet, and how many?
- Number of vehicles.
- Will you renew the lease?
SERIOUS INQUIRIES ONLY.",44.63539,-63.58745
FULLY RENOVATED,1600,"18 Penny Avenue, Halifax, NS",2024-02-26T20:20:45.000Z,15 days ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,No,600,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,24 Hour Security,Owner,,"SEVERAL units just finished!!! These one bedroom NON-SMOKING apartments sit on a quiet cul-de-sac facing Long Lake Provincial Park just off of Dunbrack St North. Great access to downtown, or to out-of-town. All units are fully renovated and have many features: 50” fireplaces, built-in microwaves and dishwashers, separate dining space, tile and glass bathrooms with deep soaker tubs, walk-in bedroom closets with custom shelving, designated storage closets and more!! Your one year lease includes heat, hot water and parking for between $1600-$1700. Units are in a security building with 24/7 supervision and are available immediately. For a viewing appointment TEXT ONLY to 902-877-6100. Sorry, no pets. We look forward to welcoming you home!!",44.62105,-63.62153
HAMMONDS PLAINS Equestrian Lane 2 Bedroom unit for May,1950,"11 Equestrian Lane, Upper Hammonds Plains, NS, B4B 1P2",2024-02-26T21:36:04.000Z,15 days ago,Apartment,2,1,Water,Not Included,2,1 Year,Yes,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,"Yard,Balcony",No,,Professional,,,44.75902,-63.85706
1 Bedroom Downtown Halifax for June,1595,"1343 Barrington Street, Halifax, NS, B3J 1Y9",2024-02-26T21:54:04.000Z,15 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,520,No,Laundry (In Building),No,,No,,Professional,www.444rent.com,"Beautiful character building in downtown Halifax. Steps from amazing restaurants, cafes, shopping and nightlife. Head down the hill to the waterfront only 2 blocks away. Enjoy Saturday mornings at the famous Halifax Seaport Market. Explore the past at Pier 21 or investigate the future at the new Discovery Center. Stroll the always beautiful and ever changing waterfront and stop off at any number of waterfront patios to enjoy a fantastic bite to eat or locally made beverage. Looking for a peaceful and colour reach walk, head up Spring Garden Rd and enjoy the Halifax Public Gardens and be sure to stop at the Halifax Central Library to check out a your favorite book to read on the side of Citadel Hill. Great building for those looking to be central in Halifax while having fantastic access to a variety of bus routes!, , $140/ month, Full Time Building Manager, Coin Operated Laundry Facilities,To find out more or schedule a viewing please contact:,Resident Managers,902.404.8439, info@wsuites.ca ",44.64264,-63.57147
"Empress Gardens - 2 Bedroom, 2 Bathroom, Den Apartment for Rent",2345,"461 Larry Uteck, Halifax, NS, B3M 0H3",2024-02-27T00:08:06.000Z,15 days ago,Apartment,2 + Den,2,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,"24 Hour Security,Storage Space",Professional,www.hazelviewproperties.com,"Empress Gardens is conveniently situated only 15 minutes from downtown Halifax and Dartmouth. Public transit is at your door and there are schools and playgrounds within walking distance. Hemlock Square Shopping Centre and Nine Mile Circle are just down the road. Once there, you'll find a Sobeys, drug stores, yoga studios, Happy Kids Indoor Playground, and much more. The Butcher's Block Pub, Nayya Pizza and Grill, Starbucks and Ravines Medical Centre Family Practice are only steps from your door. The woodland trails and pond of Hemlock Ravine Park are minutes away as well.,Empress Gardens is a recently built, modern rental community in Halifax's most sought-after neighbourhood. Your suite features premium finishes, stainless steel appliances (including a microwave and dishwasher), in-suite laundry, granite flooring, private balcony, a gym and a party room. Heat and hot water are included and parking is available.,Empress Gardens (461 Larry Uteck Boulevard) is sure to impress.",44.69884,-63.66379
Bright Large 2BR Near Bayers Lake- Small Dog Friendly,2150,"109 Greenpark Close, Halifax, NS, B3S 1R6",2024-02-27T00:08:07.000Z,15 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,Yes,"24 Hour Security,Storage Space,Elevator in Building",Professional,www.hazelviewproperties.com,"Imagine the peace and tranquillity of life in a lush, park-like setting – without giving up any of the convenience of the city. Greenpark Suites is located in Greenclose Park which connects to the woodland trails and off-leash dog area of Mainland Common Park. Bayer's Lake Business Park is across from Greenpark Suites. You'll find all the retail, restaurants and recreation you're looking for here, including Atlantic Superstore, Canadian Tire, Walmart, Costco and much more. Catch a movie at Scotiabank Theatre or play a round of mini-golf at Halifax Putting Edge. You're also only minutes from schools, BMO soccer field and Canada Games Centre. All the major highways are within easy reach as well.,Your spacious, pet-friendly rental apartment comes with five appliances, hardwood floors, in-suite laundry and a private balcony to take in your beautiful surroundings. Parking is available. Enjoy the peace of mind of monitored security cameras and on-site professional management.,Stop imagining your ideal life and start living it at Greenpark Suites (109 Greenpark Close).",44.65287,-63.66811
"The Welsford Apartments - 1 Bdrm available at 2074 Robie Street,",1695,"2074 Robie Street, Halifax, NS, B3K 5L3",2024-02-27T00:08:10.000Z,15 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Yes,881,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/the-welsford-apartments/,Situated in a quiet high-rise building with just six apartments per floor and stunning views of the city.,Some of our building amenities include laundry rooms on every 2nd floor, an 8th floor patio (open during the summer), intercom security, and ample parking.,You will have the option to walk, bike or take a short bus ride, with transit right in front of the building, to both Dalhousie University and Saint Mary’s University, the Halifax Infirmary and Victoria General Hospital. In the summer take a stroll on the Halifax Commons, or a dip in the wading pool, enjoy Canada Day festivities from your own balcony and during the winter months enjoy skating on the famous Halifax Oval skating rink. With so much to do right at your door step don’t miss out on these prime Halifax apartment rentals and make The Welsford your next apartment home., , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-3838",44.64878,-63.59128
Seeking Roommate to co-sign for 2bed 2bath,,B3P 0H3,2024-02-27T02:04:05.000Z,15 days ago,Apartment,2,2,,Not Included,1,1 Year,No,"1,200",No,,No,,No,,Owner,,"Seeking clean, respectful, working professional Roommate to co-sign for 2bed 2bath. My max budget is $1300 ",44.59988,-63.58969
76 Place Apartments - 2 Bdrm + Den available at 76 Armenia Drive,2745,"76 Armenia Drive, Bedford, NS, B4A 0J9",2024-02-29T00:08:39.000Z,13 days ago,Apartment,2 + Den,1,"Heat,Water",Not Included,0,Month-to-month,Yes,"1,459",Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/bedford-ns/76-place-apartments/,76 Place luxury apartments is a 6-story building nestled on a quiet cul-de-sac with all the finishes you would expect of a high end building in this sought after area. Located in a spectacular park-like setting with a natural forest backdrop and beautiful landscaping., , ,What's included in your rent,Heat, Parking, Storage, Water,Have Questions? Contact the Property Manager: (902) 701-4421",44.70162,-63.69171
,,,,,,,,,,,,,,,,,,,,Private seller,,,44.71605,-63.71187
"Cunard Apartments - 1 Bdrm available at 2065 Brunswick Street, H",1950,"2065 Brunswick Street, Halifax, NS, B3K 5T8",2024-02-29T00:08:40.000Z,13 days ago,Apartment,1,1,Water,Not Included,0,Month-to-month,Yes,572,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Bicycle Parking,Storage Space,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/cunard-apartments/,Located close to downtown and the stunning waterfront Cunard Apartments are located in a highly desirable area in Halifax, Nova Scotia. The apartments are perfectly catered to a wide range of residents from working professionals to families to everyone in between.,The building offers large one and two-bedroom suites for rent with sizes ranging from 572 sq. ft. to 966 sq. ft. which is ample space for your living needs. The apartments feature dishwashers and in suite laundry making it ideal for saving you time. There is vinyl and tile flooring throughout the unit. Relax on your balcony and take in the stunning waterfront views!, ,As a resident of Cunard Apartments you will have access to an array of amenities including parking. We make life easier for you as well with having all utilities included in your rent., , , ,What's included in your rent,Laundry, Storage, Water,Have Questions? Contact the Property Manager: 902-407-8845",44.65188,-63.58021
"The Macdonald - 1 Bdrm available at 5885 Cunard Street, Halifax ",2095,"5885 Cunard Street, Halifax, NS, B3K 1E3",2024-02-29T00:09:16.000Z,13 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Yes,760,No,,No,,No,Bicycle Parking,Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/the-macdonald/,The Macdonald is a highly desirable apartment building with quality amenities and superior finishes with bachelor, one, and two bedroom apartments for rent. Residents of The Macdonald have access to an array of amenities., , , ,What's included in your rent,Heat, Water,Have Questions? Contact the Property Manager: 902-422-5033",44.65133,-63.59369
CHARMING NORTH END 1 BR 1 BATH APARTMENT AVAILABLE NOV. 1ST,1795,"2326 Agricola Street, Halifax, NS, B3K 4B6",2024-02-29T00:09:18.000Z,13 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Fridge / Freezer",No,,No,,Professional,,"Welcome to Agricola Street!,Rent is $1795 + Power,This trendy, newly updated apartment is now available for new tenants!,This location cant be beat, youre less than a 5 minute drive (or 20 minute walk) from Halifaxs downtown core, and steps away from North End favourites such as Hali Deli, Bar Kismet, Young Pocha, etc,This space is apart of an 8 unit complex but has its own civic address and entrance. This suite is located on the lower level and comes with stainless steel kitchen appliances and in suite laundry.,Professionally managed by Happy Place Property Management www.happyplacepm.com.,We are considering pets on a case by case basis. Please email rent@happyplacepm.com for more details",44.65179,-63.5888
Two Bedroom Available at the Emerald Apartments!,2350,"72 Primrose Street, Dartmouth, NS, B3A 4C8",2024-02-29T00:30:00.000Z,13 days ago,Apartment,2,2,"Heat,Water",Not Included,0,1 Year,Yes,"1,025",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Bicycle Parking,Storage Space,Elevator in Building",Professional,www.emeraldrentals.ca,,44.68564,-63.58125
One Bedroom Available at Emerald Apartments!,1995,"72 Primrose Street, Dartmouth, NS, B3A 4C8",2024-02-29T01:00:00.000Z,13 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Yes,735,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Bicycle Parking,Storage Space,Elevator in Building",Professional,www.emeraldrentals.ca,,44.68564,-63.58125
"One Bedroom Apartment - Gaston Road, Dartmouth",1500,"Dartmouth, NS B2Y 3H7",2024-02-29T13:19:19.000Z,13 days ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,No,600,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,Yes,,Professional,www.broadwayproperties.ca,"One Bedroom Apartment available at 94 Gaston Road in Dartmouth.
Heat, hot water and parking are all included in our price of $1,500 per month.
Our units are conveniently located with a bus route at your doorstep, close to Circumferential, Portland Street, Mic Mac Mall and so much more! Don’t miss out on our units! Call Tammy at 902-223-7020 for more details.",44.67838,-63.54862
