Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description,Latitude,Longitude,extraction_date
Downtown Bachelor Apartment,1440,"Halifax, NS B3H",2024-03-02T17:29:31.000Z,17 days ago,Apartment,Bachelor/Studio,1,"Heat,Water",,0,Month-to-month,No,355,Yes,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Yard,Outdoors only,"Bicycle Parking,Elevator in Building",Owner,,"I'm studying abroad this summer so my bachelor apartment is available from April 15 to the end of August. Furniture and wifi included! The rent is $1440 per month. Located downtown a couple minutes away from the Dal Sexton Campus, Halifax Public Library, Atlantic Superstore, Sobey's, and more shops/restaurants.",44.63488,-63.57881,2024-03-19
Bedford 1 Bedroom + Den Apartment for Rent:,2340,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",2024-03-02T21:30:00.000Z,17 days ago,Apartment,1,1,,Not Included,0,1 Year,No,"1,005",No,Dishwasher,Yes,,No,Elevator in Building,Professional,www.skylineliving.ca,"Brookside Terrace is a brand-new luxury rental apartment community with a mix of one, two, and three bedroom suites with optional dens. Tenants will have exclusive access to our on-site gym, social lounge with a full kitchen, and outdoor patios. Brookside Terrace has everything you need, including open-concept designs, in-suite laundry, large balconies, underground parking, and plenty of storage space., ",44.70899,-63.69813,2024-03-19
Bright & Modern 1 BED | 1 BATH | Dutch Village Road,1725,"Dutch Village Road, Halifax, NS",2024-03-03T15:21:29.000Z,16 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Limited,700,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,Elevator in Building,Owner,,"MAY 1 2024 | Water Included,Please EMAIL Kanzi@unitedgulf.ca with the following questions answered:,1- How many occupants?
2- Do you have pets? (Cat friendly)
3- Employment information
- Where do you work & for how long?
4- Number of vehicles.
5- Where do you currently reside?
6- Reason for moving?
7- Move in date?,• Qualifications: Full time employment & established credit history.,Bright & Modern 1 Bed | 1 Bath,Welcome to your new home!,This recently renovated 1 BED |1 BATH apartment with lots of light & centrally located in heart of HRM. With fresh paint throughout, brand new flooring, and modern fixtures, this unit is the epitome of comfort and style.,Key Features:
• Includes: Water
• In-unit laundry
• Stainless Steel: Fridge, stove, microwave & dishwasher
• Modern & bright apartment with convenient location in heart of HRM.
• Contemporary Kitchen & Washroom, vanity & fixtures.,Bright and Airy Living:
Enjoy sunlit days in this radiant apartment, perfect for those who appreciate a well-lit living space.,Tenant Responsibilities:
• Power (current tenant pays $40/month for power)
• Tenant's Insurance,Don't hesitate to send an EMAIL to Kanzi@unitedgulf.ca - Your dream home is just a email away!",44.65901,-63.63176,2024-03-19
BRIGHT & MODERN | 2 BED + DEN | 1 BATH | BEDFORD,2695,"Millview Avenue, Bedford, NS",2024-03-03T16:15:14.000Z,16 days ago,Apartment,2 + Den,1,Water,Not Included,0,1 Year,Limited,850,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,,Owner,,"✨April 1 2024 - 2 BED + DEN | 1 BATH ✨,Please EMAIL Kanzi@unitedgulf.ca with the following questions answered:,1- How many occupants?
2- Do you have pets? (Cat friendly)
3- Employment information
- Where do you work & for how long?
4- Number of vehicles.
5- Where do you currently reside?
6- Reason for moving?
7- Move in date?,• Qualifications to apply are full time job and good established credit history.,Completely gutted brand new renovation - completely redone A-Z. Brand new bathroom, kitchen & flooring. Equipped with modern fixtures - this unit is the epitome of comfort and style.
Renovation will be completed mid March - with occupancy for April 1 2024 (earlier occupancy is possible pending completion),✨ Key Features:
• Includes: Water, premium roller blinds, AC split heat pump & lots of storage.
• 6 brand new appliances: fridge, microwave, stove, dishwasher, washer and dryer.
• Massive deck for entertaining & BBQ
• Bedford basin views!
• Access to backyard,• Modern & bright apartment with convenient location Bedford Hwy (Millview Drive) - 7 mins to Mount Saint Vincent University.,✨ Bright and Airy Living:
Enjoy sunlit days in this radiant apartment, perfect for those who appreciate a well-lit living space.,✨Tenant Responsibilities:
• Power
• Tenant's Insurance,Parking:
• Private Garage Parking : $150 per
• Outdoor Parking : $75,Don't miss the chance to make this bright and stylish space your own! Email Kanzi@unitedgulf.ca",44.70672,-63.66589,2024-03-19
Retiree/Senior 50+ Community | 2 BED + 2 BATH | BRIGHT & MODERN,2295,"Appaloosa Run, Hammonds Plains, NS",2024-03-03T22:58:07.000Z,16 days ago,Apartment,2,2,"Heat,Water",Not Included,0,1 Year,Limited,"1,300",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Storage Space,Elevator in Building",Owner,,"Please EMAIL or CALL:
Kanzi@unitedgulf.ca
902-483-8811,✨ 50+ adult building & community | Welcoming seniors, empty nesters, retirees, and anyone over the age of 50.,2 BED & 2 BATH,Welcome to luxury living in the heart of Hammonds Plains in our exclusive 50+ community at Shiraz 4!,✨ Key Features:
• Primary bedroom with ensuite, walk-in shower, and a generous walk-in closet
• Guest bedroom adjacent to a full bath featuring a relaxing tub
• Open-concept living, dining, and kitchen area with massive windows & double entry balcony for stunning views in every season!
• Modern kitchen with stainless steel appliances (stove, fridge, freezer, microwave, dishwasher) and a convenient countertop bar!
• In-unit laundry room with washer & dryer, storage, and ample counter space,✨ Amenities:
• In-floor heating and split pump for year-round comfort
• Included heat and water
• Accessible building,✨ Parking: $125 underground,✨ Location:
Nestled on Appaloosa Run | Hammonds Plains, surrounded by greenery! Experience tranquility and privacy in this charming 50+ neighborhood.,✨ Availability:
Ready for move-in May 1st 2024 - Flexible move-in date!,Don't miss the chance to call this exquisite unit in a vibrant 50+ community your home!",44.72471,-63.74775,2024-03-19
Retiree/Senior 50+ Community | 2 BED + Den  &  2 BATH |,2395,"183 Appaloosa Run, Upper Hammonds Plains, NS",2024-03-03T23:05:06.000Z,16 days ago,Apartment,2 + Den,2,"Heat,Water",Not Included,0,1 Year,Limited,"1,400",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Storage Space,Elevator in Building",Owner,,"50+ Community | HEAT & WATER Included!,✨ Modern 2 BED + DEN | 2 BATH ✨,✨ Welcome to luxury living in the heart of Hammonds Plains in our exclusive 50+ community at Shiraz 5!,✨ Key Features:,• Primary bedroom with ensuite, walk-in shower, his & hers sinks, and a generous walk-in closet
• Guest bedroom adjacent to a full bath featuring a relaxing tub
• A very large den that would make a great home office or craft room!
• Open-concept living, dining, and kitchen area with massive windows & double entry balcony for stunning views in every season
• Modern kitchen with stainless steel appliances (stove, fridge, freezer, microwave, dishwasher) and a convenient countertop bar!
• In-unit laundry room with washer & dryer, storage, and ample counter space
• Welcoming entryway with a large closet for coats and additional storage,Amenities:
• In-floor heating and split pump for year-round comfort
• Included heat and water
• Accessible building,Location:
Nestled on Appaloosa Run | Hammonds Plains, surrounded by greenery! Experience tranquility and privacy in this charming 50+ neighborhood.,Availability:
Ready for move-in April 1st 2024 - Flexible move-in date.,Don't miss the chance to call this exquisite unit in a vibrant 50+ community your home!",44.72504,-63.74912,2024-03-19
3 Bedroom in Lower Sackville,1950,"Lynnville Drive, Lower Sackville, NS",2024-03-04T12:23:41.000Z,16 days ago,Basement,3,1,Water,Not Included,2,1 Year,No,790,No,Laundry (In Building),No,"Yard,Balcony",Outdoors only,,Owner,,"UNIT IS CURRENTLY BEING ENTIRELY REBUILT FROM INSULATION TO FULLY FINISHED AND MOVE IN READY.
No updated pictures as a result as the unit will be complete a few days prior to April 15. See layout pic and front exterior.,Bright, lower level 3 bedroom, 1 bath apartment with high ceilings and large windows in a quiet residential Lower Sackville neighborhood. Front entry door and walkout basement door in the rear.,Tenant pays heat and lights. Electric heat. ALL NEW ELECTRICAL IN THIS UNIT with a new panel. There is no historical electric cost for this unit as it had always been under one electrical panel for the upper and lower units.,Water is included in rent. Fridge, Stove.,Coin operated Washer, Dryer in the shared utility room area. Washer & dryer is powered by the upper unit’s electrical panel.,Vinyl plank flooring throughout.,Large deck overlooking large back yard. Backyard can be used by upper or lower tenants.,Unit has it’s own separate driveway with Parking for 2 cars.,Applicants can request an application through email. Dan.Macd@hotmail.CA,Available April 15.",44.77708,-63.67666,2024-03-19
One bedroom in 2 bedroom apartment available.,1300,"Stone Mount Drive, Lower Sackville, NS",2024-03-04T21:09:34.000Z,15 days ago,Apartment,2,2,Water,,1,1 Year,Yes,"1,300",Yes,"Laundry (In Building),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,"Gym,Storage Space,Elevator in Building",Owner,,"Looking for a roommate to join me and my friendly 14 year old cat sage! You would have your own bedroom and bathroom. The kitchen, living space and in unit laundry is shared. I am a 24 year old female, a student at MSVU and a part-time preschool teacher.",44.76718,-63.63434,2024-03-19
1 Bedroom Sea Loge Downtown Halifax,,"1715 Lower Water St, Halifax, NS, B3L 0J4",2024-03-05T14:19:54.000Z,14 days ago,Apartment,1,1,,Not Included,0,1 Year,Yes,Not Available,No,,No,,No,,Professional,,"Sea Loge suites overlook the Halifax Harbour and the bustling central courtyard plaza.,STANDARD SUITE DETAILS",44.64814,-63.57146,2024-03-19
Spacious Downtown Victorian Flat,2250,"Halifax, NS B3H 1P5",2024-03-05T14:26:59.000Z,14 days ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,Yes,"1,000",No,Laundry (In Building),No,Yard,No,,Owner,,Viewings Mar.7-10th. Send availability during that time. Flat is on the main floor. Front and back door to yards. Quiet building. References and financial statements necessary. Parking available for $100/month.,44.63238,-63.59398,2024-03-19
2 Bedroom Apartment for Rent in Dartmouth!  Baker and Portland,2795,"144 Baker Drive, Dartmouth, NS, B2W 6L4",2024-03-05T15:19:51.000Z,14 days ago,Apartment,2,2,"Heat,Water",Not Included,0,1 Year,Yes,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.realstar.ca,"Live near Portland Street with easy access to the Circumfrential Highway. Steps to Russell Lake, Penhorn Mall and Sobeys. All these conveniences compliment your bright and airy, condo-styled living space. Baker Arms and Wexford Apartments ideal for those seeking mature, professional surroundings.,Live well with 24 hour on-site management. Realstar strives to provide you with a superior living experience and exceptional resident care. We organize social events that foster a sense of community. Realstar buildings are impeccably clean, well maintained and environmentally efficient.,The rental office is open daily with 24 hour application approval. Realstar makes renting easy. Come view this apartment today!, 902-703-6543,vailability and specifications are subject to change. Images may not reflect actual suite finishes. Pet restrictions may apply. E. & O.E.",44.66161,-63.53065,2024-03-19
BEAUTIFUL 2 BEDROOM ON CHURCHILL CRESCENT IN DARTMOUTH!,1495,"14 Churchill Court, Dartmouth, NS, B2X 1N4",2024-03-05T15:54:01.000Z,14 days ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,Yes,Not Available,No,Laundry (In Building),No,,No,,Professional,,"AVAILABLE FOR RENT IMMEDIATELY,Dartmouth (14 Churchill Cr.) 2 BR- Apartment from $1,495.00 per month (includes Heat and Water!),Parking Available Onsite @ $25/month,Please contact our on-site Property Manager for more information and to set up a viewing at: (902) 462-3544 or at pinegreenpm@macdane.com or marketing@macdane.com",44.68793,-63.52715,2024-03-19
2 bed 1 bath May 1st lease takeover,1530,"Robie St, Halifax, NS B3K 4R8",2024-03-05T17:37:08.000Z,14 days ago,Apartment,2,1,,Not Included,1,1 Year,No,800,No,,No,,No,,Owner,,"2 bed 1 bath apartment in the North End.
Rent includes water. Heat, electricity, and hot water not included.
One parking spot.,Unfurnished
Lease takeover preferred but sublet until Aug 31st will be consider.
Please reach out with any questions. ",44.663,-63.60683,2024-03-19
Sublease Apartment for Summer (The Vuze),2850,"5633 Fenwick Street, Halifax, NS",2024-03-05T18:02:23.000Z,14 days ago,Apartment,2 + Den,2,"Heat,Water",,0,Month-to-month,No,850,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,24 Hour Security,Elevator in Building",Owner,,we are looking to sublease our 2 bedroom apartment for the summer period (May-August).,44.63796,-63.57526,2024-03-19
Lease takeover for May 1st,966,"6409 Quinpool Rd, Halifax, NS B3L 1A7",2024-03-05T18:40:29.000Z,14 days ago,Apartment,3,1.5,,Not Included,0,1 Year,Limited,"2,600",No,,Yes,,Outdoors only,,Owner,,Looking for someone to do a lease takeover from May 1st to August 31. When September 1st arrives you will have the option to resign the lease for the upcoming year. 3 bedroom apartment one and a half bathrooms. Full kitchen with large fridge and dishwasher. In building washer and dryer. Located on Quinpool Rd very close to various stores and restaurants and close to both Dalhousie and Saint Mary’s. Free street parking nearby. Please contact me if you have any additional questions or would like to view the unit.,44.64457,-63.60066,2024-03-19
1 bedroom basement apartment for rent for April 1,1500,"Halifax, NS B3R 0C4",2024-03-05T18:48:17.000Z,14 days ago,Basement,1,1,Water,Not Included,0,1 Year,Limited,720,No,Laundry (In Unit),No,Yard,No,,Owner,,1 bedroom Available in Green Acres as of April 1. Still in construction phase. Will be ready for viewing next week. Contact to arrange.,44.59104,-63.59995,2024-03-19
Bright Bachelor available June 01 move in,1250,"5760 Inglis Street, Halifax, NS",2024-03-05T18:58:35.000Z,14 days ago,Apartment,Bachelor/Studio,1,"Heat,Water",Not Included,0,1 Year,Limited,500,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,Outdoors only,,Owner,,"Address: 5760 Inglis street,Apartment Features:
Convenient Location: This apartment is situated in a highly accessible area, with close proximity to bus routes, universities, grocery stores, and shopping centers.,Downtown Convenience: Enjoy the convenience of being a mere 5-minute walk away from the heart of downtown, making it easy to access all the amenities and entertainment the city has to offer.,Professional Building: Our building is known for its peaceful and professional atmosphere, perfect for individuals seeking a quiet living environment.,Parking: Out door parking available for additional cost,Inclusions: The apartment comes equipped with essential appliances, including a stove and fridge. Additionally, your rent covers the cost of heat , anad hot water.,Pet-Friendly: Cat lovers are welcome here.,Viewing Information:,Virtual Tours: We encourage you to make an informed decision by viewing up-to-date photographs of the apartment.,Contact: To schedule a viewing or inquire further, please contact us during our office hours, which are from 10 AM to 5 PM, Monday to Friday.,Phone: Reach us at 902-497-0325.,Email: Feel free to email us at newscotlandfinancial@gmail.com.,Online Applications: For your convenience, you can find our rental application form on our website at www.southendhfx.com.,This apartment offers a perfect blend of convenience, comfort, and a peaceful atmosphere. Don't miss out on this opportunity! Contact us today to learn more and schedule a viewing.",44.63371,-63.57734,2024-03-19
"Summer Sublet (1 BDRM with Balcony) on Agricola Street, Halifax",2100,"2710 Agricola Street, Halifax, NS",2024-03-05T19:08:18.000Z,14 days ago,Apartment,1,1,"Hydro,Heat,Water",,1,Month-to-month,Limited,600,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Elevator in Building",Owner,,"Great little 1 bedroom appartment with a spacious balcony overlooking Agricola Street, Halifax. Great little spot close to cafes, bars and cute little shops.
I am a law student looking to have someone responsible to look after my appartment while I go back home.
I will leave all essentials but empty out all my close space for you.
Please note: I totally guessed the square footage, sorry. I have no clue.
Please contact for more information",44.657,-63.59605,2024-03-19
"Dartmouth 1 Bedroom Apartment for Rent - 1, 6, 7, 10 Crystal Dri",1741,"10 Crystal Drive, Dartmouth, NS, B3A 4G6",2024-03-05T20:37:34.000Z,14 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Yes,607,No,"Laundry (In Building),Fridge / Freezer",No,,No,,Professional,www.metcap.com,,44.68558,-63.58379,2024-03-19
Looking for one bedroom apartment ,,"8 Gordon Ct, Lower Sackville, NS B4E 1W6",2024-03-05T20:38:58.000Z,14 days ago,Apartment,1,1,,Not Included,1,1 Year,No,750,No,,No,,No,,Owner,,Hi I am a single male employed full time looking for an apartment in the Halifax area. Please get back to me if you happen to have one available. Thank you,44.77016,-63.69951,2024-03-19
Sharing room available for rent,475,"Halifax, NS B3J 1B4",2024-03-05T22:47:36.000Z,14 days ago,Apartment,2,2,,Not Included,0,1 Year,No,"1,050",No,Laundry (In Unit),No,Balcony,No,"24 Hour Security,Storage Space,Elevator in Building",Owner,,Hey one sharing room available from 31st march rent is 475 plus electricity call me at 902-441-7523,44.64102,-63.57295,2024-03-19
"Bedford 2 Bedroom, 2 Bath + Den Apartment for Rent:",2810,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",2024-03-06T00:34:08.000Z,14 days ago,Apartment,2,2,,Not Included,0,1 Year,No,"1,505",No,Dishwasher,Yes,,No,Elevator in Building,Professional,www.skylineliving.ca,"Brookside Terrace is a brand-new luxury rental apartment community with a mix of one, two, and three bedroom suites with optional dens. Tenants will have exclusive access to our on-site gym, social lounge with a full kitchen, and outdoor patios. Brookside Terrace has everything you need, including open-concept designs, in-suite laundry, large balconies, underground parking, and plenty of storage space., ",44.70899,-63.69813,2024-03-19
1 bed in a 2 bed aprt ,1100,"56 Walter Havill Dr, Halifax, NS B3N 0C3",2024-03-07T15:35:45.000Z,12 days ago,Apartment,1,1,,Not Included,0,1 Year,No,1,Yes,,Yes,,No,,Owner,,"1 Room in a 2 Bedroom aprt for Rent Near Long Lake
️ Spacious and well-lit room in a 2 room aprt with good furnishings.
Stunning city views right from your window and balcony
All utilities included: water, hydro, heating, and high-speed internet.
Private bathroom.
Washer and dryer available in the unit.
Access to a state-of-the-art gym within the building.
Amenities:
Comfortable bed
Work/study desk
Ample wardrobe storage
Secured building entry
Friendly and quiet neighbors
Perfect for students, working professionals, and especially for newcomers and recent arrivals looking for a comfortable and convenient living space to settle for the first days in the new country.
Location: Near Long Lake
Monthly Rent: $1100 (all utilities included)
Available from: Immediately
House Rules:
No smokers
",44.63181,-63.63278,2024-03-19
"The Vuze Panoramic 2 Bed, 1.5 Bath Units - Your Urban Retreat!",2900,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-03-07T18:24:00.000Z,12 days ago,Apartment,2,1.5,"Heat,Water",Not Included,0,1 Year,Limited,"1,100",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,,Professional,www.templetonproperties.ca,,44.63808,-63.57532,2024-03-19
"Perfect for Students - The Vuze 2 Bed, 1 Bath Apartments!",2600,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-03-07T18:30:00.000Z,12 days ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,Limited,750,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.templetonproperties.ca,,44.63808,-63.57532,2024-03-19
Looking for accommodation ,,"North St, Halifax, NS, B3M 2B3",2024-03-07T19:16:22.000Z,12 days ago,Apartment,1,1,,Not Included,0,1 Year,Yes,"1,000",No,,No,,Outdoors only,,Owner,,Hi there I am a private female with a dog which seems to be a huge barrier he has never dirtied in the house and is a mama's boy and makes no trouble or damages. I would prefer being close to some amenities and only require a 1br although more would be great apartment or house for year lease and any offers or questions would be appreciated references also avail upon request 902 912-1107,44.67893,-63.66836,2024-03-19
Looking for apartment in Dartmouth ,,"Alderney Dr, Dartmouth, NS B2Y",2024-03-07T20:03:20.000Z,12 days ago,Apartment,Bachelor/Studio,1,,Not Included,0,1 Year,Limited,500,No,,No,,No,,Owner,,"Looking for a bachelor or 1 bedroom apartment. Would prefer it to be cat friendly as I do have a neutered 2 year old indoor kitty but not a huge deal if it wasn’t I can get him different accommodations. I work in Dartmouth so preferably in Dartmouth. I do work a hybrid model job (2 shifts from home & 2 shifts in office per week) I work all day until late evenings so very rarely home.
I don’t smoke or party, I am clean, quite and respectful and very rarely have guests over.
I do already have a NS power account in good standings so power switched to my name is no issue.
Would like to have water & heat included, but no big deal if they weren’t.
Would like to budget between $1200-$1600 without utilities or only some included but if all utilities included $1800-$1900 a month
Can move in anytime after April 1st.
I do only have 1 past landlord reference as I recently moved home from camp jobs in Alberta but can provide past&present work and family/friend references as well
",44.66487,-63.569,2024-03-19
"Carrington Place - 1 Bedroom, 1 Bathroom Apartment for Rent",1935,"26 Carrington PL, Halifax, NS, B3S 1J8",2024-03-07T21:30:00.000Z,12 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,820,No,"Laundry (In Unit),Fridge / Freezer",No,Balcony,Yes,"24 Hour Security,Storage Space,Elevator in Building",Professional,www.hazelviewproperties.com,"Find the level of luxury that suits your style and budget in this modern, well-maintained property. You'll be minutes from Clayton Park Shopping Centre, Canada Games Centre and Bayers Lake Business Park. Spacious suites come with 5 appliances, laminate floors, carpeting and ceramic tile, private balcony and many luxurious features including in-suite laundry.",44.66493,-63.67392,2024-03-19
Fantastic 2 bedroom unit on the Dartmouth Waterfront- May 1st,1950,"223 Windmill Rd., Dartmouth, NS, B3A 4M6",2024-03-07T21:42:00.000Z,12 days ago,Apartment,2,1,"Heat,Water",Not Included,1,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,24 Hour Security,Professional,,"To View this unit please contact Barb at 902-830-1835, to fill out the online rental application please visit our site's homepage: WWW.OLYMPUSPROPERTIES.CA,Beautiful 2-bedroom apartment, located in a clean, quiet, and secure 132-unit building at 223 Windmill Road on the Dartmouth waterfront. The rent for this apartment includes the heat, hot and cold water, fridge, stove, dishwasher, microwave, parking for one, and on-site coin laundry. This location also offers you proximity to Burnside Industrial Park, good access to the ferry, bus routes, NSCC Akerley Campus, MacDonald Bridge, and downtown Dartmouth and Halifax. NO PETS AND NO SMOKING.,***PHOTOS ARE OF A SIMILAR UNIT**",44.67147,-63.588,2024-03-19
Two Bedroom Apartment,1550,"Bedford, NS B4B 1C7",2024-03-07T22:36:09.000Z,12 days ago,Basement,2,1,Water,Not Included,1,1 Year,No,900,No,Fridge / Freezer,No,,No,,Owner,,"Bright two bedroom basement apartment in Bedford (Peerless Subdivision)
No smoking in unit.
No Pets
Electric Heat/Hot water
Laundry mat 5 minute drive
Parking for one vehicle
Tenant insurance is required.
Not available until June 1st",44.72464,-63.71526,2024-03-19
2 Beds 1 Bath - House (SpryField),1900,"Halifax, NS B3R 1R3",2024-03-07T23:01:35.000Z,12 days ago,Basement,2,1,Heat,Not Included,1,1 Year,Limited,850,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Yard,No,,Owner,,"2 bedroom 1 bathroom basement unfurnished apartment:,A generously sized two-bedroom, one-bathroom unit, fully equipped with all amenities! Includes an updated kitchen, modernized bathroom, air conditioning, and in-suite laundry. This unit is perfectly located in front of the beautiful Long Lake, 5 5-minute walk to supermarkets, schools, and public transport; this is convenient at its best. Ideal for couples or friends, we're looking for long-term tenants (1 year lease) to make this space their own.,Rent is $1900 heating included. Special offer, electricity included for the first 6 months!,Max occupancy allowed: 2 people and 3 if family.
Tenants Insurance required.,Available starting MARCH 18th. If you are interested, please send me an overview of yourself, your occupation, and your move-in date.",44.61201,-63.62269,2024-03-19
Renovated 2 Bedroom Unit Close to Quinpool,1949,"6416 London St, Halifax, NS B3L 1X4",2024-03-07T23:21:17.000Z,12 days ago,Apartment,2,1,,Not Included,0,1 Year,Limited,900,No,,No,,No,,Owner,,"* Please read ad carefully - Will not reply to ""Is this available?"" messages**
I'm getting alot of messages asking about May availability - this unit is available now.
Available Now or March 15, Possibly April 1 for right tenant(s)
6416 London St, Halifax
2 Bedroom / 1 Bath Flat
Appliances Included: Fridge, Stove, Dishwasher
Utilities Included: Heat, Water, Hot Water
Tenants pay Power, Internet
Direct Access from Unit to Coin Laundry Machines
*Private Outside Entrance*
$1949/month
No dogs or Visiting Pets
Discover this charming two-bedroom unit, recently updated with modern amenities and stylish finishes.
Enjoy the spacious layout featuring a large kitchen, living room, and bedrooms.
The apartment boasts a privacy-focused design, with bedrooms located at opposite ends of the unit, making it ideal for roommates or hosting guests.
There is certainly ample room for two people to live comfortably.
This apartment is ideally located within walking distance of Young Street and Quinpool Road, offering easy access to a variety of shops, restaurants, and entertainment options.
Perfect for students, young professionals, or couples, this property offers the convenience and comfort you've been searching for.
Street parking is available.
Contact Janet today to learn more or to schedule a viewing!
",44.65243,-63.6078,2024-03-19
 ROOM FOR RENT,1400,"Tilbury Ave, Bedford, NS B4B",2024-03-08T01:13:37.000Z,12 days ago,Apartment,1,1,,Not Included,1,Month-to-month,No,"1,505",No,,Yes,,No,,Owner,,"AVAILABLE ROOM FOR RENT
LOCATED AT TILBURY AVE. BEDFORD NOVA SCOTIA
PRICE: 1,400 + UTILITIES ",44.70994,-63.69949,2024-03-19
4 Bed 1 Bath Apartment for Sublease,3500,"Halifax, NS B3J 2E9",2024-03-08T01:19:25.000Z,12 days ago,Apartment,4,1,"Hydro,Heat,Water",Not Included,0,Month-to-month,Limited,1,Yes,"Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer",Yes,,No,,Owner,,"SUBLET**Looking for a family, group of 4, or 4 individuals to sublet this 4 bedroom 1 bathroom apartment from May 1st 2024 to August 31st 2024. Recently renovated with heat pump and close to grocery stores, Halifax Public Library. 20 min walk to Dalhousie University and Saint Mary’s University. House is close to main bus routes and everything is included in rent other than Wifi. In unit laundry and fully furnished with a full working kitchen.",44.64037,-63.57329,2024-03-19
Lwr Sackville - Newly renovated 2 Bedroom - Avail April 15,1860,"52 Seawood Avenue, Lower Sackville, NS",2024-03-08T13:57:13.000Z,12 days ago,Apartment,2,1,Water,Not Included,1,1 Year,Limited,850,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,"Yard,Balcony",Outdoors only,Storage Space,Owner,,"Currently under renovation. Large beautiful, bright 2 bedroom ground level walk out, basement apartment. Lovely large windows in all rooms make this a bright and cheery unit. Complete new interior including new kitchen cabinets, bathroom including soaker tub with new ceramic tile surround, new flooring and trim. Paved Driveway, storage in unit with lots of closet space. Both bedrooms are large. Stacked washer and dryer in the unit. Kitchen appliances are stainless steel. Heat pump provides economical heating in the winter and cooling in the summer. Beautiful deck and level backyard. Sorry we do not accept dogs at this location. This apartment will be available on April 15th or earlier depending on the construction schedule. Please do not use the ""request a viewing"" button. If you wish to be considered for this unit, please forward us your email address to receive an application for pre screening. If the ad is up, the apartment is still available.",44.766,-63.68521,2024-03-19
South end fully furnish 2 bedroom flat. All utilities included.,2950,"Halifax, NS B3H 2B1",2024-03-08T14:34:33.000Z,11 days ago,Apartment,2,1,"Hydro,Heat,Water",,1,1 Year,Limited,"1,000",Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,,Owner,,"Beautiful, bright lower level flat. Perfect for professional couple or small family. Very close to Dalhousie, hospitals and schools. The owner occupies the flat above. The flat is warm in the winter and cool in the summer. The flat is furnished, including linens and kitchen supplies. The furniture can be removed if renters prefers to use their own furniture, linens and kitchen supplies.",44.63897,-63.59433,2024-03-19
Two Awesome gals looking for 2 student roomies,1000,"Halifax, NS B3J 1A5",2024-03-08T14:36:49.000Z,11 days ago,Apartment,2 + Den,1.5,"Heat,Water",,1,1 Year,Limited,"1,200",No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,Outdoors only,,Owner,,"Hi, I have two great gals looking for two roomies to join them for the next year starting May 1st. It is a great apartment at the corner of south and queen in a fantastic neighbourhood. Rent is $1,000 per room for everything but electricity! Please send me a note or give me a shout if you are interested in learning more.",44.63937,-63.57348,2024-03-19
