Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description
1 Bedroom Available for February 1st 2024,1200,"Halifax, NS B3K","January 15, 2024 3:40 AM",over a month ago,Apartment,2,1,,Not Included,1,1 Year,Yes,730,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Elevator in Building,Owner,,"1 bedroom in a new two bedroom apartment for $1200
Available February 1st 2024,It has an in unit washing machine and dryer.
It also has a stove, fridge dishwasher and modern AC system,It has cute little café s nearby, a convenience store, pharmacy, Sobeys, a library, Shoppers, NSLC and gas station. All are within short walking distance.,It’s near the universities (SMU and Dal), there is a school right across, near downtown, near the mall , near bridge so you’re not far from Dartmouth and the big stores like Home Depot and IKEA,It feels like a middle location.,It’s got a really nice view of the water, bridge and the city from the living room to the bedrooms. It’s also quiet and the neighbours are friendly,DM for more information or to apply."
Looking for a Private Room (couple),,"Dartmouth Rd, Bedford, NS B4A","January 15, 2024 3:07 PM",over a month ago,Basement,1,1,,Not Included,1,Month-to-month,No,1,Yes,,Yes,,No,,Owner,,I am looking for a private room in halifax or Dartmouth from february. It would be great if someone provide us room with mattress. 
1101 Cole Harbour Rd - 1 bed 1 bath -new build - Heat & hw inc,1775,"1101 Cole Harbour Road, Dartmouth, NS","January 15, 2024 4:19 PM",over a month ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,772,No,Laundry (In Unit),No,"Yard,Balcony",No,"Gym,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,,"Property Address: 1101 Cole Harbour Road,***CONTACT*** leasing.harboursuites@gmail.com TO RECEIVE AN APPLICATION AND BOOK A VIEWING,APRIL 1ST,*PRICE
$1775 Per month (HEAT AND WATER INCLUDED)
Underground parking = $50 Outdoor parking = $25
(Dependent on availability),*Unit available in new apartment building completed in April 2020. Walking distance to all amenities including schools and Portland Hills bus terminal.,*No smoking in unit or balcony*
*No Dogs*,*Unit/Property Details: 772 sq ft Available APRIL 1st
- 1 Bedroom
- 1 Bathroom
- Heat And Water Included in rent
- 6 Appliances included (Stainless Steel in kitchen)
- Ensuite Washer and Dryer
-Granite Counter Tops
- In Floor Heating
- Fitness Room"
2 bedroom apartment,1790,"Lower Sackville, NS B4C 4C1","January 16, 2024 1:47 AM",over a month ago,Apartment,2,1,"Heat,Water",Not Included,1,1 Year,No,9,No,Laundry (In Building),No,Balcony,Outdoors only,,Owner,,2 Bedroom spacious apartment located near Millwood in lower Sackville.
Apartment for rent,1470,"Halifax, NS B3H 2W3","January 16, 2024 9:56 AM",over a month ago,Apartment,Bachelor/Studio,1,"Hydro,Heat,Water",Not Included,0,1 Year,Limited,12,No,"Laundry (In Building),Fridge / Freezer",Yes,,Outdoors only,"Gym,Storage Space,Elevator in Building",Owner,,"Studio apartment available for rent March 1
$1470, utilities included except for wifi.
Parking available for extra cost
Located on South Park st, close to Dal and SMU.
Bus stop located nearby. Walking distance to grocery stores."
Family of 4 looking for a rental unit,,"Beechville, NS B3T 2J3","January 16, 2024 6:22 PM",over a month ago,Apartment,2 + Den,1,"Heat,Water",Not Included,1,1 Year,Yes,"1,000",No,,No,,No,,Owner,,Family of 4 with pets looking for 2 bedroom or 2 bedroom plus den or 3 bedroom. Budget 1800-2100
Rental Apartments ,2515,"Windmill Rd, Dartmouth, NS, B3B 1B7","January 16, 2024 11:20 PM",over a month ago,Apartment,2 + Den,2,,Not Included,1,1 Year,Limited,"1,610",No,,Yes,,No,,Owner,,"Welcome to Royal Tower 2!
Move-In —> March/May 2024
Discover Brand New Luxury Apartments in the heart of Larry Uteck with the best view of the Bedford Basin!
Unit Offerings:
2 Bedrooms + Den starting at $2515
3 Bedrooms starting at $2800
Various sizes and layouts available.
Heat & Hot Water Included
1 Underground Parking & Storage Included
In-suite Laundry + 4 Stainless Steel Appliances
Fully Air Conditioned Units
Balcony on Every Unit
Secure Building with Video Monitoring
Amenities:
Spacious Fitness Center
On-Site Parcel Room
Exclusive Bell Internet Pricing
1 Pet under 25lbs allowed per unit"
den space for rent,650,"Brunswick St, Halifax, NS, B3K 2Z1","January 18, 2024 3:21 PM",over a month ago,Apartment,2 + Den,1,,Not Included,0,Month-to-month,Yes,650,No,,Yes,,Outdoors only,,Owner,,"Den space available for rent in 2bhk apartment
"
Furnished studio apartment available immediately ,1600,"Duffus St, Halifax, B3K 2R4","January 8, 2024 12:18 PM",over a month ago,Apartment,Bachelor/Studio,1,,Not Included,0,1 Year,No,800,Yes,,Yes,,No,,Owner,,"*Update from previous posting: this unit now includes a brand new washer/dryer
Furnished studio apartment available January 1 on a fixed term lease until May 31 or August 31, possibly shorter or longer term on negotiation
Includes water and internet, tenant responsible for electricity. There is a heat pump which will heat the whole unit so heating costs are very low, with electric baseboard heat as a secondary heat source.
No parking but there is tons of free street parking right by the unit
Right next to bus stops and great bike route to downtown
No pets
Application will be required upon request"
Looking for 1 or 2 bedroom apartment close to Dalhousie ,1800,"Robie St, Halifax, B3H 3G1","January 8, 2024 10:38 PM",over a month ago,Apartment,2,1,,Not Included,1,Month-to-month,Limited,350,No,,No,,No,,Owner,,"Looking for an apartment near Dalhousie. Need to move in for August 2024. Looking for a place with 1 or 2 bedrooms and a bathroom. Need parking space. Would like to have a fridge, oven, washer and dryer. Everything else doesn’t really matter. "
Quiet and peaceful place for rent,,"Willowdale Drive, Musquodoboit Harbour, NS","January 9, 2024 12:39 AM",over a month ago,Duplex/Triplex,2,1,"Hydro,Heat",,1,1 Year,Limited,"1,000",No,"Laundry (In Unit),Fridge / Freezer",Yes,Yard,No,,Owner,,"For rent: 2-bedroom 1000sqft ground level apartment with private entrance in Musquodoboit Harbour located in Mill Pond Estates subdivision in a wooded 1-acre lot. This apartment is within walking distance to the village core and all its amenities. Close to many walking trails, Martinique Beach, the Farmer's Market, and Twin Oaks Hospital. There is plenty of parking and the end of highway 107 is less than 1km away.,• 30 minutes to Halifax
• 35 minutes to the airport,The unit was newly renovated throughout with paint, flooring, lighting, fixtures (including smoke/CO2 detectors and extinguisher), mini split (heating and air conditioning), upgraded water filtration system.,The unit is bright and airy with large rooms that have many windows providing natural light. There is also plenty of storage. The water is softened and filtered, providing excellent drinking water. The unit has access to a fire pit and a private covered outdoor seating area too.,The rent is $1850/month and includes water, fridge, stove, and laundry as well as utilities extra. High speed (1 Gigabit) internet service available in the area.,Looking to rent to a quiet, responsible non-smoking/vaping adult with no dogs.,Available February 1st, on a 1-year leasing agreement."
Bedroom available - Lakefront apartment,900,"East Lawrencetown, NS, B2Z 1N7","January 9, 2024 10:41 PM",over a month ago,Apartment,1,1,,Not Included,1,Month-to-month,No,900,No,,Yes,,No,,Owner,,"One private bedroom available in renovated two bedroom lakefront apartment right on Porter’s Lake.
Shared kitchen and bathroom. Living room overlooks the backyard and lake, with patio doors leading to the deck. The apartment is furnished, besides the bedroom. Ensuite laundry.
You would have shared access to the swimming dock, as well as the fire pit. There is also storage on property for a kayak or paddle board. Parking is also available.
Asking $900 plus utilities (comes to $100) and wifi.
Looking for someone who is:
- Quiet / noise considerate (roommate does shift work)
- Clean
- Can provide proof of income
- Non -smoker
I also have two cats and a dog, so an animal lover would be best.
Ad will be updated with photos. "
2 Bedroom Lakefront House/ Apartment,3200,"Dartmouth, NS B3A 2L8","January 10, 2024 12:43 AM",over a month ago,House,2,1,Water,Not Included,1,1 Year,No,860,No,Laundry (In Unit),No,Yard,No,,Owner,,"Please don’t ask if it’s still available. Serious inquiries only.
2 Bedroom Lakefront 860sq.ft Apartment for rent. Looking for a full time rental, but open to a lightly furnished long term stay. Hoping to have it ready between mid January to February 1st. $3200/month. See attached layouts and sneak peak of the new kitchen. Apartment has brand new appliances & kitchen with quartz counters, original natural stone tiles & beautiful oak hardwood doors, built-in millwork & details throughout.
Private stairwell to the entrance and shared access to the lake!"
Apartment for rent ,1600,"Halifax, NS, B3H 3M5","January 11, 2024 4:32 AM",over a month ago,Apartment,Bachelor/Studio,1,,Not Included,1,Month-to-month,No,300,No,,Yes,,No,,Owner,,"Apartment for rent newly renovated includes all utilities
Has gym and restaurant in building
Parking is available for extra fee
Laundry on floor
Available April 1st to September 1st with option to renew
Has A/C "
2 bedroom 2 bath apartment from 1st February ,2650,"3051 Isleville St, Halifax, B3K 1X7","January 18, 2024 10:32 PM",over a month ago,Apartment,2,2,Water,,1,1 Year,Yes,"1,500",Yes,Laundry (In Unit),Yes,Balcony,Outdoors only,"Gym,Storage Space,Elevator in Building",Owner,,"From February 1st, an apartment is available for rent on isleville st.
Pets and up to three people are allowed.
The apartment is very bright and spacious, 2 balconies, 2 rooms and 2 bathrooms, some of the furniture remains in the apartment. The rooms are completely separate, located in different corners of the apartment. There is zero audibility, only 4 apartments per floor. There is a gym in the building.
Underground parking included in the price
Also included is a storage room (closet)
Price: 2650 + utilities(power +heat)
Internet and water are included in the price"
Large 1 Bedroom 1st Floor Apartment on the Halifax Common,2400,"2075 North Park Street, Halifax, NS","January 18, 2024 11:38 PM",over a month ago,Apartment,2,1,Water,,1,Month-to-month,Limited,850,No,Fridge / Freezer,Yes,Balcony,Outdoors only,,Owner,,"Commons View: Large, Bright 2 Bedroom
2075 North Park.,$2400 per month – Wifi and Cable Included
Available Feb 1 – Early move in possible!,Live in the center of Halifax on the Common, Canada’s oldest urban Park. This popular North End neighbourhood offers urban Lifestyle at its best. A short walk to numerous shops, 2 supermarkets, boutiques, restaurants, bars, the Quinpool shopping district, the QEII Health Sciences Center, skating oval and more!,This 850 sq ft 2 bedroom 1st floor apartment is in a quiet 3 story well maintained historic Georgian house. It features a 15’ x 15’ living room with pine floors, large windows, modern eat in kitchen, private 8’x 10’ deck and only a 15 minute walk to the historic downtown waterfront and entertainment venues.,Enjoy the view, location and lifestyle living in the center of Halifax!,Walk Score – 97 out of 100!,Inclusions
•	Wifi and Cable TV
•	Water
•	Off-street Parking may be available
•	Neighbourhood on-street parking permit
available, $50 per year,Livingroom 15’ x 15’
•	Historic Pine Floor
•	Large Superior Windows,Kitchen Large Eat in
•	Fridge, Stove, Microwave. Keurig
•	Laminate Tile Floor,2 Bedrooms
•	Curtains and black out blinds,Private 8’ x 10’ Deck,Pet Policy – Cat Friendly (neutered),I have many inquiries so please reach out to Chris Murphy directly.,Email: murp@eastlink.ca , 902-488-8314 call or text"
2 Bedroom Apartment,2395,"Kearney Lake Rd, Halifax, NS, B3M 3H7","January 19, 2024 2:50 PM",over a month ago,Apartment,2,1,"Heat,Water",Not Included,1,1 Year,Limited,900,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,,Owner,,"2 apartment on Kearney Lake Road available March 1st
Please read entire ad and respond with answers to questions below.,-Photos not of exact unit. More updated photos to follow.
- New kitchen with granite countertop
- 3rd floor with a wrap around deck
- Heat, hot water and one parking space
- On site laundry
- Secure building
- Open concept kitchen/living room/dining room
- 4 Appliances
- Large in unit storage closet
- Tile and laminate flooring
- Large bedrooms and closets
- Spacious dining room
- All units in building are corner units
- Building wired for Bell Aliant Fibre Op
- Quick access to highway 102
- Close to Bayers Lake and Larry Uteck
- Near Mount Saint Vincent
- On Bus route and one bus ride away from Lacewood Terminal, Canada Games Centre & Library.
- Just a few steps away from Kent Park, Ravines and Kearney Lake walking & hiking trails.
- Gas stations, take out, NSLC, Tim Hortons all within a 2 minute walk.
-One parking space included; sorry, no others available at this time.
Please reply with:
- How many people will be moving in?
-Any pets?
-How many parking spaces will you require?
-Smoker or non-smoker?
-Desired move in date?
-Employment status.
One year lease and damage deposit required.
Sorry no dogs but cat friendly. We are seeking QUIET (non-party) tenants. Smoke free building.
Email more info or to set up a viewing."
The Nines at Brunello,4390,"Brunello Boulevard, Timberlea, NS","January 19, 2024 5:58 PM",over a month ago,Apartment,2 + Den,2,Water,Not Included,1,1 Year,Yes,"2,030",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,"Gym,Bicycle Parking,Storage Space,Elevator in Building",Owner,,"The Nines at Brunello apartments, overlooking the beautiful 9th Hole of The Links at Brunello, offers 134 luxurious units for rent in Timberlea, Nova Scotia, including 1 Bedroom, 1 Bedroom + Den, 2 Bedroom, 2 Bedroom + Den, and 3 Bedroom + Den, floor plans. Featuring 2 full bathrooms, walk-in closets, private balconies, 6 stainless steel appliances, quartz countertops, high gloss flat panel cabinetry, and luxury vinyl flooring and ceramic tile throughout — these units are outfitted to The Nines!,Step outside of your suite and enjoy the comfort and relaxation of the countryside, while maintaining the convenient and active lifestyle that the city offers. Golfing, walking, biking, tennis, skiing, skating, canoeing, dining, and shopping — all within minutes of your front door.,Staying in? Enjoy all The Nines has to offer, including; an workout in our gym, meeting your neighbours in our social lounge, hosting guests in our guest suites, or simply enjoying the ambience and relaxation inside your spacious new home.,Whether you are a golfing pro, just starting out, or occasionally enjoy a few relaxing rounds with friends, residents of The Nines also enjoy discounted rates at The Links at Brunello golf course, designed to help you reach your golfing goals.,Discover how to make The Nines your new apartment home by contacting Stephen Thornhill today at 902-789-2999 email sthornhill@thenines.ca"
The Nines at Brunello,4700,"7 Brunello Boulevard, Timberlea, NS","January 19, 2024 6:20 PM",over a month ago,Apartment,2 + Den,2,"Heat,Water",Not Included,1,1 Year,Yes,"2,030",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,,"•	Suite 224…2 bed + Den ( Large Corner suite, floor plan H): This suite is available as of December 1st 2023 . It is one of the most popular suites due to how spacious it is ( 2030 sq.ft ) , and it being a corner suite offering the best views of the golf course and all its surrounding nature. It is locate don the 2nd floor , it has a very spacious open space living room, dining room and kitchen area, large pantry, and large laundry room. The Den is perfect for an office or even a spare room for it has a large window facing the golf course. It has a large private balcony facing the golf course and all its surrounding nature (south west view) , and another balcony off the master bedroom facing the 8th hole (East). As all the other suites It has 2 full bathrooms (the master bedroom ensuite has the walkin shower and the other bathroom has a bath tub, master bedroom has a large walk in closet, 6 stainless steel appliances, , quartz counter tops, high gloss flat panel cabinetry, ceramic tile floors in baths & entry, luxury vinyl flooring throughout. The monthly rent for this lovely suite is $4700 .00 (heat, water, and 1 underground parking spot included ). I attached floor plan , and a few photos on here for you."
Apartments for rent - Homestead living,,"Wilson Rd, Upper Rawdon, NS B0N 2N0","January 19, 2024 10:18 PM",over a month ago,Apartment,1,1,Water,,1,1 Year,Limited,700,No,Fridge / Freezer,No,"Yard,Balcony",Yes,"24 Hour Security,Bicycle Parking,Storage Space",Owner,,"1 bedroom apartments for rent in East Hants
Reply in private to this ad with a plant emoji and full description of yourself."
The Vuze - Studio - Water View Apartment for Rent,2100,"5633 Fenwick St, Halifax, NS, B3H 1R1","January 20, 2024 12:30 PM",over a month ago,Apartment,Bachelor/Studio,1,"Heat,Water",Not Included,0,1 Year,Limited,500,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,Elevator in Building,Professional,www.templetonproperties.ca,"Enjoy the serene beauty of the Halifax Harbour with our studio units featuring a mesmerizing water view. These cozy spaces are equipped with a Murphy Bed, perfect for a double mattress, optimizing your living area. Each unit comes with a balcony to enjoy the fresh air and a well-designed kitchen, complete with an island. The rental includes six appliances (dishwasher, stove, oven, microwave, and washer, and dryer in select units). Heat and water are included in the rent.,Welcome to The Vüze, where your morning view is as extraordinary as your lifestyle! Our Euro 1, 1, and 2-bedroom apartments redefine urban living in Atlantic Canada's largest residential building. Nestled in the heart of the city, The Vüze offers more than just a home – it's a vibrant community where convenience meets luxury.,Wake up to breathtaking city views from your balcony, setting the tone for an exciting day ahead. Our suites boast six sleek stainless steel appliances, modern flooring, and stylish cabinets, creating a beautiful and practical space that suits your dynamic lifestyle.,Discover a world of possibilities within The Vüze's expansive walls. Energize your day at our on-site gym, available 7 days a week. Craving a quick treat or need essentials? Our lobby houses a bakery, a bubble tea cafe, and a convenience store, providing instant access to your favorite indulgences. ,The Vüze marks the beginning of the South Village, a place where growth, community, and history come together. Whether you're a student seeking convenience or a young family looking for a modern oasis, The Vüze welcomes you with open arms. We're cat and small-dog friendly, ensuring your furry friends can enjoy the perks of luxury living too!,But that's not all – your new home at The Vüze comes with included utilities, such as water and heat. And for those with a flair for convenience, underground parking is available for a seamless urban experience at an additional fee per month.,Don't miss the chance to make The Vüze your new home! Contact us today for more details and embark on a journey where every day is an adventure in style, comfort, and modern living.,Welcome to The Vüze, your gateway to the vibrant heartbeat of South End Halifax! Nestled in the heart of this dynamic neighborhood, The Vüze promises a lifestyle that's all about convenience, excitement, and modern living.,Situated strategically, our residence places you within arm's reach of renowned universities, ensuring your academic journey is just moments away. Hospitals, recreation centers, and bustling businesses are all part of your daily landscape, making every aspect of your life effortlessly accessible.,At The Vüze, it's not just about a home; it's about embracing a thriving community. Imagine strolling to nearby universities for classes, enjoying the latest in healthcare advancements, and finding your favorite spots for recreation and relaxation—all within reach.,Whether you're a student seeking a stress-free commute or a young professional looking for the perfect work-life balance, The Vüze is your ideal sanctuary. We've curated a space where the city's pulse meets the tranquility of your home.,Join us at The Vüze, where living in the heart of South End Halifax is not just a choice; it's a lifestyle. Contact us today to embark on a journey where every convenience is at your doorstep, and every day is filled with the excitement of urban living!"
Bedroom sublet Available Feb 1 in 3 Bedroom Unit on Quinpool RD,990,"Quinpool Road, Halifax, NS","January 20, 2024 5:35 PM",over a month ago,Apartment,1,1,"Hydro,Heat,Water",,0,Month-to-month,No,122,Yes,Laundry (In Unit),No,Balcony,No,,Owner,,Centrally located on Quinpool RD. Room available in shared 3 bed house for 990 monthly with all utilities and wifi included. Fully furnished room available February 1st through April 30th.
2 Beds 1 Bath - Apartment,3300,"Shirley St, Halifax, NS B3H","January 20, 2024 6:56 PM",over a month ago,Duplex/Triplex,2,1,,Not Included,1,1 Year,No,12,Yes,,Yes,,No,,Owner,,"Newly furnished and renovated executive Victorian home with modern comfort in Halifax's South End.
If you are looking for a unique and spacious place to live in one of Halifax’s most sought-after neighborhoods, you will love this main floor flat in a lovely Victorian home. This property is conveniently located minutes from downtown and within walking distance to the universities, the hospital, restaurants, shops, a major grocery store and the parks at The Commons.
This fully furnished 1140 sq ft two bedroom unit has a lot to offer, including a beautiful newly renovated kitchen and dining room with sliding pocket french doors. Alternatively, the dining table could be moved into the large kitchen and the dining room could be converted into a large office or sun room.
You will appreciate the large living room, hardwood and ceramic flooring, stainless steel appliances, the large deck, and convenient storage shed. The flat features ten foot ceilings, large windows with beautiful Victorian moldings, plenty of natural light, and air conditioning/ heat pump.
Coin operated laundry is available on the lower level. Parking, heat, air conditioning and utilities are included in the rent.
Available March 1st. Don’t miss this opportunity to live in a charming Victorian home in Halifax’s south end. Contact us today to schedule a viewing.
Details:
Monthly Rent: $3300, heat, air conditioning & utilities included and fully furnished
Driveway Parking Space available for a small car. Street parking available with city permit.
Master Bedroom - 12 x 12, including closet
Second Bedroom - 10 x 10, plus closet
Dining room/Office/Sunroom- 8 x14*
* Note: a desk, if desired, can be added at no additional charge"
Furnished 2 Bdrm DT Dartmouth Monthly,2260,"Thistle Street, Dartmouth, NS","January 20, 2024 9:35 PM",over a month ago,Apartment,2,1,"Hydro,Heat,Water",,2,Month-to-month,Yes,600,Yes,"Laundry (In Unit),Fridge / Freezer",No,Balcony,Outdoors only,,Owner,,"Rented for now. Will be available again in a few months. Will update when I have more information (whether current tenant extends or not).,I don't actually know the square footage I just made up a number to enter. It's a good sized space.,Private 2 bedroom apartment, fully furnished, everything included (heat, hot water, elec, internet, laundry, streaming services). Rent includes a mandatory monthly clean provided by a local service. Private off-street parking for 1 vehicle included, could add 1 more. Perfect for students or quiet professionals.,Big, sunny space including a large back deck surrounded by trees (deck furniture added and repairs done to deck since the photo). EXCELLENT location, short walking distance to the major McDonald Bridge bus terminal, the Alderney Landing ferry terminal, and a quick drive to everything important both Dartmouth and Halifax.,7 min drive or 25min bus trip to the NSCC Ivany Campus. Just across the harbour from NSCAD U.,The unit has queen sized beds in both bedrooms and provides sheets, towels, face cloths, and basic kitchen utensils and cookware. Access to various streaming services (your own subscriptions) on the large smart TV. A starting set of items like toilet paper and dish soap (once they run out its up to you to replace).,Large space, big kitchen, big dining room, cozy living room, big back deck, reasonably sized bedrooms, laundry included and private. The only thing shared is the building's external front door.,Bottom floor a separate apartment, private from this one. Stairs up one floor from ground to enter apartment, and stairs up from main floor to the two bedrooms on the top floor, so needs to be comfortable with climbing 2 flights of stairs. Laundry is in the back bedroom. Full sized tub in bathroom. NO dishwasher.,Pets considered, but CONDITIONAL.,What we ask of you:,Please respect that you have someone living below you and to keep noise to respectable levels.,Please keep place reasonably tidy.,Please sort garbage/recycling/compost according to the guide provided and take out on proper days for removal. Keep the garbage area tidy and sorted.,Please let us know if something needs repairs ASAP.,Fixed term lease to be signed with damage deposit (half month's rent) with verified legal ID.,Please contact us with the month(s) you wish to rent.,We can also provide a link to the short term rental ad that has more pictures and description."
"Apartments for Rent, West Bedford, NS",,"Bedford, NS B4B 1A1","January 21, 2024 6:39 PM",over a month ago,Apartment,2 + Den,2,Water,Not Included,1,Month-to-month,Yes,"1,505",Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,"Gym,Bicycle Parking,Storage Space,Elevator in Building",Owner,,"Until the end of the month - free accommodation!!!,Brookside Terrace is a brand-new luxury rental apartment community with a mix of one, two, and three bedroom suites with optional dens. Tenants will have exclusive access to our on-site gym, social lounge with a full kitchen, and outdoor patios. Brookside Terrace has everything you need, including open-concept designs, in-suite laundry, large balconies, underground parking, and plenty of storage space.
Open House
Saturday
11:00 am - 3:00 pm
Sunday
11:00 am - 3:00 pm,Additional:
Controlled Entry
Landscaped Grounds
Resident Events
Rental Office
Small Pets Allowed
In-Suite Laundry
Social Lounge
Quartz Countertops
Stainless-steel Appliances
Accessible Units
Open-concept Layouts
Outdoor Courtyard
Full Appliance Package
Outdoor & Underground Parking
Kitchen Island"
Looking for 1-2 bedroom apartment,,"6299 South St, Halifax, NS B3H 4J1","January 21, 2024 8:19 PM",over a month ago,Apartment,1 + Den,1,,Not Included,1,1 Year,No,500,No,,No,,No,,Owner,,"Hello!
My partner and I are moving to Halifax this summer and are looking for a 1-2 bedroom apartment near Dalhousie University. My partner is a working professional in the environmental field, and I am starting my PhD in clinical psychology at Dalhousie in September.
If you or anyone you know are looking for quiet, responsible, and respectful tenants, please reach out.
We look forward to hearing from you,
Jacob and Kira"
2 Bedroom plus den at The Residences at Queen's Marque.,4990,"1715 Lower Water Street, Halifax, NS","January 22, 2024 8:02 PM",over a month ago,Apartment,2 + Den,2.5,"Heat,Water",,0,1 Year,Yes,"1,350",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,"Gym,Pool,Concierge,24 Hour Security,Bicycle Parking,Elevator in Building",Owner,,"Live the life of luxury on the Halifax Waterfront in The Residences of Queen’s Marque. Enjoy a 2 bedroom plus den suite with panoramic ocean views, and beautiful sunrises. Heat, water, internet, cable and telephone included. Concierge and driving service included. Beautiful shared terrace with fire tables, lounging area, barbecues, and work space. Media room, resident lounge area, with full dining room and kitchen. The building is also pet friendly and hosts a dog playroom. Additional amenities available upon request including hydrothermal spa access, state of the art fitness facility.,The building has many restaurants to enjoy."
One bedroom sublet (in a 2 bedroom + office apartment),1000,"Halifax, NS B3L 1Y4","January 22, 2024 11:22 PM",over a month ago,Apartment,2 + Den,1,Water,Not Included,1,Month-to-month,Yes,"1,000",No,Laundry (In Unit),No,,Outdoors only,"Bicycle Parking,Storage Space",Owner,,"Subletting my one bedroom in a beautiful and newly renovated 2 bedroom + office apartment!,Featuring
- one bedroom sublet beginning in April- August with option for yearly lease takeover
- shared large office space
- lots of storage
- third floor with lots of natural light and windows
- a shared parking space and unlimited street parking
- all new appliances, flooring and paint throughout
- a young professional female roommate with an elderly dog
- $1,000 a month plus utilities
- close to grocery stores and bus routes
- available furnished or unfurnished,Please message for further details and to arrange a viewing!"
3 Bedroom apartment for rent,2310,"B4E, Canada","January 23, 2024 4:04 PM",over a month ago,Apartment,3,2,"Heat,Water",Not Included,1,1 Year,Limited,"1,280",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,,Owner,,"Three bedroom apartment for rent in Sunset Ridge Subdivision. Rent includes heat, water, six appliances, one underground parking space, storage, gym and 2 common areas. Cats only (2 Max.)"
"Beautiful open concept, bright apartment available for rent",2250,"Alabaster Way, Halifax, NS","January 23, 2024 4:47 PM",over a month ago,Apartment,2,1,Water,Not Included,1,1 Year,Limited,"1,150",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Elevator in Building,Owner,,"For lease 1,150 sq ft apartment with 6 appliances included. Spacious main living and kitchen area, loads of cabinet space. Great for entertaining, comes with a 280 sq ft deck with views of south end Halifax and Northwest to Clayton Park and Spryfield. Beautiful for an evening BBQ with the sun going down over the horizon. Comes with a mini split heat pump for air conditioning during the summer."
1 Bedroom 1 Bath Lease Take-Over: Starting March 1st till Sept.1,2295,"Quinpool Rd, Halifax, NS, Canada","January 23, 2024 7:53 PM",over a month ago,Condo,1,1,"Heat,Water",Not Included,0,1 Year,Limited,700,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Storage Space,Elevator in Building",Owner,,"Experience luxury living in the centre of the Quinpool district - This 1 bedroom, 1 bathroom flat is perfect for an individual or a couple, and located on Quinpool road, within minutes walk of grocery stores, restaurants, parks, and public transportation. Building is brand new and opened 2023.,Unit Includes:
-1 Bedroom
-1 Bathroom
-In unit laundry
-New stainless steel appliances including refrigerator, dishwasher, stove, and microwave oven
-Central cooling & heating system
-Walk in closet
-Private balcony,Building amenities include:
-Gym
-Rooftop terrace (Seasonal)
-Underground parking garage
-Mail parcel room
-Secured key-card access security cameras around the building.,Heat and hot-water are included with rent. Building is cat-friendly, pending a separate application. Half a month's rent is required as a security deposit, which will be required after you are approved.,Please message today if you are interested or wish to arrange a viewing - You will need to apply through the building management"
Apartment for rent. Brand new building in downtown,2450,"Roberts Street, Halifax, NS","January 23, 2024 9:17 PM",over a month ago,Apartment,2,1,,Not Included,0,1 Year,Limited,750,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,"Gym,Bicycle Parking,Storage Space,Elevator in Building",Owner,,"Brand new building in the heart of downtown Halifax. ""The Rob"".
Available
Please PM for more details.
Electric, water and internet not included.,The Rob on Roberts is located at 5665 Roberts Street in Halifax’s growing North end.
The Rob will be suites with balconies, heat pumps, in-suite laundry, guest suite, a distinguished, beautiful green roof top terrace, rooftop clubhouse, fitness centre, underground vehicle and indoor / outdoor bicycle parking.,Highly desirable North End location,Full suite kitchen including stove top oven, microwave, dishwasher and refrigerator,In-suite laundry,Energy efficient construction
Heated underground parking
Access controlled entry and security system,High quality finishes including custom cabinets, quartstone counter tops, name brand fixtures,Dedicated heat pumps with air conditioning,Additional in building storage available,Beautiful green roof top terrace along with a rooftop clubhouse,Fitness Centre,Indoor/Outdoor bicycle parking,Extra-large windows"
